room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
11449,RES_02062026_01838,5051,2026-06-05,open,Family Apartment(King),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11450,RES_02062026_01838,5052,2026-06-05,open,Family Apartment(Twin),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11049,RES_15052026_01712,601,2026-05-31,open,Deluxe Studio Apartment,1662.34,3,2,1,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3918.03,1662.34,3392.23,3,0,3,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,3,1729.89,single,1,0,f
11465,RES_02062026_01840,304,2026-06-04,open,Executive,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,single,0,0,f
11466,RES_02062026_01840,303,2026-06-04,open,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,single,0,0,f
11467,RES_02062026_01840,302,2026-06-04,open,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,single,0,0,f
11468,RES_02062026_01841,702,2026-06-09,open,Executive Apartment,2285.71,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4319.99,2285.71,3740.25,2,0,2,311.69,415.58,415.58,f,0,0.00,1.00,1.00,reserved,,t,2,1454.54,single,0,0,f
11342,RES_28052026_01798,501,2026-06-08,open,Deluxe Studio Apartment,1662.34,3,2,1,1,1,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4200.00,1662.34,3636.36,3,0,3,173.16,294.37,294.37,f,0,0.00,1.00,1.00,reserved,,t,3,1402.59,multiple,0,0,f
11170,RES_20052026_01749,303,2026-06-12,open,Standard Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
11171,RES_20052026_01749,602,2026-06-17,open,Executive Apartment,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
